Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D5,LED,LED_0603_1608Metric,110.0625,-112.8,0.0,top
DNP2,~,C_0402_1005Metric,178.35,-84.6,90.0,top
DNP4,~,C_0402_1005Metric,181.65,-85.5,-90.0,top
DNP6,~,C_0402_1005Metric,177.4,-111.63,-90.0,top
DNP7,~,C_0402_1005Metric,180.55,-110.73,90.0,top
FLASH1,"Tactile Button, 160gf",SW_TS-1088-AR02016,156.44,-77.665,90.0,top
J1,Micro_SD_Card_Det1,TF-SMD_TF-01A,145.099987,-114.925,0.0,top
J3,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,160.39,-122.09,90.0,top
J4,Conn_01x14_Pin,PinSocket_1x14_P2.54mm_Vertical,103.975,-99.31,0.0,top
J6,Conn_01x04_Pin,PinSocket_1x04_P2.54mm_Vertical,184.975,-99.285,0.0,top
J8,U.FL,IPEX-SMD_BWIPX-1-001E,184.9875,-108.95,0.0,top
L1,0R,R_0402_1005Metric,180.0,-85.05,0.0,top
L2,68nH,L_0402_1005Metric,182.2,-107.8,0.0,top
L3,2nH,L_0402_1005Metric,124.2,-83.0,0.0,top
L5,DNP,L_0402_1005Metric,131.37,-85.03,135.0,top
L6,2.7nH,L_0402_1005Metric,128.17,-85.03,45.0,top
L7,4.7uH 3V,L_Sunlord_MWSA0402S,113.35,-100.45,90.0,top
MK1,SPH0645LM4H,Knowles_SPH0645LM4H-6_3.5x2.65mm,185.3905,-115.4,90.0,top
P1,1_25T-1-2A,CONN-TH_1.25T-1-2A,114.975159,-120.95,0.0,top
P2,1_25T-1-2A,CONN-TH_1.25T-1-2A,133.425159,-120.9,0.0,top
R1,100kΩ,R_0402,182.3,-114.4,180.0,top
R10,10K,R_0402_1005Metric,174.25,-102.534925,180.0,top
R11,10K,R_0402_1005Metric,108.26,-107.72,-90.0,top
R12,200K,R_0402_1005Metric,112.95,-118.29,-90.0,top
R13,10K,R_0402_1005Metric,107.21,-87.3,180.0,top
R14,10K,R_0402_1005Metric,140.8,-107.5,-90.0,top
R15,33Ω,R_0402,158.95,-118.8,90.0,top
R16,470R,R_0402_1005Metric,108.7,-84.385,90.0,top
R17,10K,R_0402_1005Metric,147.35,-107.55,-90.0,top
R18,33R,R_0402_1005Metric,125.25,-110.61,90.0,top
R19,200K,R_0402_1005Metric,111.9,-119.35,-90.0,top
R2,33R,R_0402_1005Metric,124.15,-110.6,90.0,top
R20,33Ω,R_0402,156.5,-118.8,-90.0,top
R21,10K,R_0402_1005Metric,155.44,-81.325,180.0,top
R22,10K,R_0402_1005Metric,161.23,-81.275,0.0,top
R23,0R,R_0402_1005Metric,132.635,-88.89,90.0,top
R25,470R,R_0402_1005Metric,113.35,-83.4,-90.0,top
R26,0R,R_0402_1005Metric,130.57,-95.38,0.0,top
R27,0R,R_0402_1005Metric,130.57,-96.53,0.0,top
R28,0R,R_0402_1005Metric,126.17,-97.13,-45.0,top
R29,0R,R_0402_1005Metric,125.37,-97.93,-45.0,top
R3,0R,R_0402_1005Metric,119.65,-104.0,180.0,top
R30,0R,R_0402_1005Metric,124.57,-98.68,-45.0,top
R31,10K,R_0402_1005Metric,146.15,-107.55,-90.0,top
R32,510Ω,R_0402,116.0,-110.8,90.0,top
R33,100kΩ,R_0402,112.75,-108.45,-90.0,top
R34,5.1K,R_0402_1005Metric,122.9,-113.57,-90.0,top
R35,5.1K,R_0402_1005Metric,126.65,-113.67,-90.0,top
R36,0R,R_0402_1005Metric,177.79,-108.0,180.0,top
R37,10K,R_0402_1005Metric,139.65,-107.5,-90.0,top
R38,2.2kΩ,R_0402,127.85,-107.48,90.0,top
R39,33Ω,R_0402,131.7,-103.9,0.0,top
R4,10kΩ,R_0402,153.065,-99.57,180.0,top
R40,33Ω,R_0402,129.75,-103.9,180.0,top
R41,10kΩ,R_0402,118.2,-116.299962,-90.0,top
R43,33Ω,R_0402,182.3055,-115.4,180.0,top
R44,33Ω,R_0402,165.4,-83.3,180.0,top
R45,33Ω,R_0402,163.4,-83.3,180.0,top
R46,33Ω,R_0402,161.3,-83.3,180.0,top
R47,2.2kΩ,R_0402,148.515,-100.72,90.0,top
R48,2.2kΩ,R_0402,147.465,-100.72,90.0,top
R49,10kΩ,R_0402,116.950025,-110.799962,90.0,top
R5,33Ω,R_0402,127.85,-105.43,-90.0,top
R50,300kΩ,R_0603,110.75,-109.15,180.0,top
R51,13kΩ,R_0603,118.300025,-113.629962,-90.0,top
R52,10kΩ,R_0402,117.2,-116.299962,90.0,top
R53,10kΩ,R_0402,115.050025,-110.799962,-90.0,top
R54,1K,R_0402_1005Metric,110.1525,-116.2,0.0,top
R55,1K,R_0402_1005Metric,110.1625,-111.25,180.0,top
R56,150kΩ,R_0603,110.75,-107.65,0.0,top
R6,330Ω,R_0402,130.42,-91.53,0.0,top
R7,100kΩ,R_0402,122.4687,-108.1375,90.0,top
R8,0Ω,R_0402,176.2,-106.15,-90.0,top
R9,0R,R_0402_1005Metric,179.0,-111.18,0.0,top
RESET1,"Tactile Button, 160gf",SW_TS-1088-AR02016,160.2,-77.675,90.0,top
SW1,EVQPUC02K,SW-SMD_EVQPUD02K,177.650012,-76.140127,90.0,top
SW2,EVQPUC02K,SW-SMD_EVQPUD02K,167.950139,-76.135962,90.0,top
U1,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm,123.77,-91.38,-90.0,top
U11,MC-121-L119,USB-C-SMD_HANBO_MC-121-L119,124.7,-118.452497,0.0,top
U12,TLV62569DBV,SOT-23-5,113.2875,-105.35,180.0,top
U14,MCP23017_ML,QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm,149.67,-95.72,0.0,top
U15,HJ-SMA275,SMA-SMD_BWSMA-KE-P001,185.350102,-85.65,0.0,top
U17,RA-01SH-P,COMM-SMD_17P-L17.0-W16.0-P2.00_RA-01S-P,168.867602,-92.734899,-90.0,top
U18,L76KB-A58,GPSM-SMD_18P-L10.1-W9.7-P1.10,169.849975,-110.049924,0.0,top
U19,MAX98357A,TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm,130.96,-106.54,0.0,top
U2,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,136.47,-97.28,180.0,top
U4,STLQ015M33R,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,161.600013,-112.150026,-90.0,top
U5,SK-12D02-VG5,SW-TH_SK-12D02-VG5,174.649618,-121.95,0.0,top
U6,USBLC6-2P6,SOT-666,124.7,-113.17,90.0,top
U7,BQ25185DLHR,WSON-10_L2.2-W2.0-P0.40-BL-EP_TI_DLH0010A,116.05,-113.6,0.0,top
U8,TPS22917LDBV,SOT-23-6,120.2,-107.0,90.0,top
Y1,32.768 kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,113.21,-92.0,-90.0,top
Y2,40MHz(10ppm),Crystal_SMD_2520-4Pin_2.5x2.0mm,136.005,-88.92,0.0,top
